Country,Tariff_Year,HS_Family,Average_Tariff,Free_Trade_Agreement_with_US,European_Union
United States,2020,20,10.84,,No
United States,2020,22,1.80,,No
United States,2020,24,204.98,,No
United States,2020,30,0.15,,No
United States,2020,40,1.56,,No
United States,2020,47,0.00,,No
United States,2020,72,0.31,,No
United States,2020,73,1.21,,No
United States,2020,87,3.09,,No
United States,2020,94,1.59,,No
United States,2020,95,2.04,,No
United States,2019,02,4.50,,No
United States,2019,07,8.59,,No
United States,2019,08,3.43,,No
United States,2019,09,0.26,,No
United States,2019,10,1.53,,No
United States,2019,11,3.75,,No
United States,2019,14,1.11,,No
United States,2019,15,3.48,,No
United States,2019,16,3.24,,No
United States,2019,17,5.84,,No
United States,2019,18,3.18,,No
United States,2019,19,5.29,,No
United States,2019,20,10.84,,No
United States,2019,22,1.80,,No
United States,2019,24,204.98,,No
United States,2019,30,0.15,,No
United States,2019,40,1.56,,No
United States,2019,47,0.00,,No
United States,2019,72,0.31,,No
United States,2019,73,1.21,,No
United States,2019,87,3.09,,No
United States,2019,94,1.60,,No
United States,2019,95,2.04,,No
United States,2018,02,4.50,,No
United States,2018,07,8.59,,No
United States,2018,08,3.43,,No
United States,2018,09,0.26,,No
United States,2018,10,1.53,,No
United States,2018,11,3.75,,No
United States,2018,14,1.11,,No
United States,2018,15,3.48,,No
United States,2018,16,3.24,,No
United States,2018,17,5.84,,No
United States,2018,18,3.18,,No
United States,2018,19,5.29,,No
United States,2018,20,10.84,,No
United States,2018,22,1.80,,No
United States,2018,24,204.98,,No
United States,2018,30,0.15,,No
United States,2018,40,1.56,,No
United States,2018,47,0.00,,No
United States,2018,72,0.31,,No
United States,2018,73,1.21,,No
United States,2018,87,3.09,,No
United States,2018,94,1.60,,No
United States,2018,95,2.04,,No
United States,2017,02,4.50,,No
United States,2017,07,8.68,,No
United States,2017,08,3.43,,No
United States,2017,09,0.26,,No
United States,2017,10,1.53,,No
United States,2017,11,3.75,,No
United States,2017,14,1.11,,No
United States,2017,15,3.48,,No
United States,2017,16,3.24,,No
United States,2017,17,5.84,,No
United States,2017,18,3.18,,No
United States,2017,19,5.29,,No
United States,2017,20,10.84,,No
United States,2017,22,1.80,,No
United States,2017,24,204.98,,No
United States,2017,30,0.15,,No
United States,2017,40,1.56,,No
United States,2017,47,0.00,,No
United States,2017,72,0.31,,No
United States,2017,73,1.21,,No
United States,2017,87,3.09,,No
United States,2017,94,1.61,,No
United States,2017,95,2.04,,No
United States,2016,02,4.50,,No
United States,2016,07,8.66,,No
United States,2016,08,3.43,,No
United States,2016,09,0.26,,No
United States,2016,10,1.53,,No
United States,2016,11,3.75,,No
United States,2016,14,1.11,,No
United States,2016,15,3.48,,No
United States,2016,16,3.14,,No
United States,2016,17,5.84,,No
United States,2016,18,3.18,,No
United States,2016,19,5.40,,No
United States,2016,20,10.84,,No
United States,2016,22,1.80,,No
United States,2016,24,204.98,,No
United States,2016,30,0.22,,No
United States,2016,40,1.54,,No
United States,2016,47,0.00,,No
United States,2016,72,0.31,,No
United States,2016,73,1.21,,No
United States,2016,87,3.38,,No
United States,2016,94,1.66,,No
United States,2016,95,2.04,,No
