,US_Port,US_Port_Clustered,STATE_CODE
169,"NEW YORK/NEWARK AREA, NEWARK, NEW JERSEY",NEW YORK,NY
170,"NEWARK, NJ",NEW YORK,NY
171,"NEWPORT NEWS,VA","NEWPORT NEWS,VA",VA
172,"NEWPORT,OR","NEWPORT,OR",OR
173,"NEWPORT,RI","NEWPORT,RI",RI
174,"NIGHTHAWK,WA","NIGHTHAWK,WA",WA
175,"NOGALES,AZ","NOGALES,AZ",AZ
176,"NORFOLK SUBPORT, NORFOLK, VA","NORFOLK SUBPORT, NORFOLK, VA",VA
177,"NORFOLK,VA","NORFOLK,VA",VA
178,"NORTON,VT","NORTON,VT",VT
179,NOT AVAILABLE,NOT DECLARED,NOT DECLARED
180,NOT DECLARED,NOT DECLARED,NOT DECLARED
181,"OAKLAND,CA","OAKLAND,CA",CA
182,"OAKLAND/PONTIAC AIRPORT,MI","OAKLAND/PONTIAC AIRPORT,MI",MI
183,"OGDENSBURG,NY","OGDENSBURG,NY",NY
184,"OKLAHOMA CITY,OK","OKLAHOMA CITY,OK",OK
185,"OLYMPIA,WA","OLYMPIA,WA",WA
186,"OMAHA, NE","OMAHA, NE",NE
187,"OMAHA,NE","OMAHA, NE",NE
188,"ORANGE,TX","ORANGE,TX",TX
189,"ORLANDO,FL","ORLANDO,FL",FL
190,"OSWEGO,NY","OSWEGO,NY",NY
191,"PANAMA CITY,FL","PANAMA CITY,FL",FL
192,"PASCAGOULA,MS","PASCAGOULA,MS",MS
193,"PAULSBORO,PA","PAULSBORO,PA",PA
194,"PENSACOLA,FL","PENSACOLA,FL",FL
195,"PERTH AMBOY, NJ","PERTH AMBOY, NJ",NJ
196,"PHILADELPHIA INTL. AIRPORT,PA","PHILADELPHIA INTL. AIRPORT,PA",PA
197,"PHILADELPHIA,PA","PHILADELPHIA,PA",PA
198,"PHOENIX,AZ","PHOENIX,AZ",AZ
199,"PITTSBURGH,PA","PITTSBURGH,PA",PA
200,"PLYMOUTH,MA","PLYMOUTH,MA",MA
201,"POINT ROBERTS,WA","POINT ROBERTS,WA",WA
202,"PONCE,PR","PONCE,PR",PR
203,"PORT ANGELES,WA","PORT ANGELES,WA",WA
204,"PORT ARTHUR,TX","PORT ARTHUR,TX",TX
205,"PORT CANAVERAL,FL","PORT CANAVERAL,FL",FL
206,"PORT EVERGLADES,FL","PORT EVERGLADES,FL",FL
207,"PORT HUENEME,CA","PORT HUENEME,CA",CA
208,"PORT HURON,MI","PORT HURON,MI",MI
209,"PORT LAVACA,TX","PORT LAVACA,TX",TX
210,"PORT MANATEE,FL","PORT MANATEE,FL",FL
211,"PORT SAN LUIS,CA","PORT SAN LUIS,CA",CA
212,"PORT ST.JOE,AL","PORT ST.JOE,AL",AL
213,"PORT TOWNSEND,WA","PORT TOWNSEND,WA",WA
214,"PORTLAND INTERNATIONAL AIRPORT, PORTLAND, WA","PORTLAND INTERNATIONAL AIRPORT, PORTLAND, WA",WA
215,"PORTLAND,ME","PORTLAND,ME",ME
216,"PORTLAND,OR","PORTLAND,OR",OR
217,"PORTSMOUTH,NH","PORTSMOUTH,NH",NH
218,"PROVIDENCE,RI","PROVIDENCE,RI",RI
219,"PROVINCETOWN,MA","PROVINCETOWN,MA",MA
220,"REDWOOD CITY,CA","REDWOOD CITY,CA",CA
221,"RENO,NV","RENO,NV",NV
222,"RICHMOND,CA","RICHMOND,CA",CA
223,"RICHMOND-PETERSBURG,VA","RICHMOND-PETERSBURG,VA",VA
224,"ROGERS CITY,MI","ROGERS CITY,MI",MI
225,"ROSEAU,MN","ROSEAU,MN",MN
226,"SABINE,TX","SABINE,TX",TX
227,"SACRAMENTO INTERNATIONAL AIRPORT, CA","SACRAMENTO INTERNATIONAL AIRPORT, CA",CA
228,"SACRAMENTO,CA","SACRAMENTO,CA",CA
229,"SAGINAW/BAY CITY/FLINT,MI","SAGINAW/BAY CITY/FLINT,MI",MI
230,"SALEM,MA","SALEM,MA",MA
231,"SALT LAKE CITY, UT","SALT LAKE CITY, UT",UT
232,"SAN ANTONIO,TX","SAN ANTONIO,TX",TX
233,"SAN DIEGO,CA","SAN DIEGO,CA",CA
234,"SAN FRANCISCO INTL. AIRPORT, SAN FRANCISCO,CA","SAN FRANCISCO INTL. AIRPORT, SAN FRANCISCO,CA",CA
235,"SAN FRANCISCO,CA","SAN FRANCISCO,CA",CA
236,"SAN JOAQUIN RIVER,CA","SAN JOAQUIN RIVER,CA",CA
237,"SAN JUAN INTL. AIRPORT,PR","SAN JUAN INTL. AIRPORT,PR",PR
238,"SAN JUAN,PR","SAN JUAN,PR",PR
239,"SAN PABLO BAY,CA","SAN PABLO BAY,CA",CA
240,"SAN YSIDRO, CA","SAN YSIDRO, CA",CA
241,"SANTA TERESA, NM","SANTA TERESA, NM",NM
242,"SAULT STE MARIE,MI","SAULT STE MARIE,MI",MI
243,"SAVANNAH,GA","SAVANNAH,GA",GA
244,"SEARSPORT,ME","SEARSPORT,ME",ME
245,"SEATTLE,WA","SEATTLE,WA",WA
246,"SEATTLE-TACOMA INTL. AIRPORT,WA","SEATTLE-TACOMA INTL. AIRPORT,WA",WA
247,"SELBY,CA","SELBY,CA",CA
248,"SHREVEPORT-BOSSIER CITY,LA","SHREVEPORT-BOSSIER CITY,LA",LA
249,"SITKA,AK","SITKA,AK",AK
250,"SOUTHWEST FLORIDA FORT, MYERS, FL","SOUTHWEST FLORIDA FORT, MYERS, FL",FL
251,"SPRINGFIELD,MA","SPRINGFIELD,MA",MA
252,"SPRINGFIELD,MO","SPRINGFIELD,MO",MO
253,"ST. CROIX, VI","ST. CROIX, VI",VI
254,"ST. JOHN, ND","ST. JOHN, ND",ND
255,"ST. LOUIS,MO","ST. LOUIS,MO",MO
256,"ST. PETERSBURG,FL","ST. PETERSBURG,FL",FL
257,"STOCKTON,CA","STOCKTON,CA",CA
258,"TACOMA,WA","TACOMA,WA",WA
259,"TAMPA,FL","TAMPA,FL",FL
260,"TEXAS CITY,TX","TEXAS CITY,TX",TX
261,"TOLEDO-SANDUSKY,OH","TOLEDO-SANDUSKY,OH",OH
262,"TUCSON,AZ","TUCSON,AZ",AZ
263,"TULSA, OK","TULSA, OK",OK
264,"TULSA,OK","TULSA, OK",OK
265,"UNKWNOWN, FL",NOT DECLARED,ED
266,"UNKWNOWN, MT",NOT DECLARED,ED
267,"UNKWNOWN, NY",NOT DECLARED,ED
268,"UPS COURIER HUB FACILITY, PHILADELPHIA, PA","UPS COURIER HUB FACILITY, PHILADELPHIA, PA",PA
269,"UPS MIAMI INTL AIRP, FL","UPS MIAMI INTL AIRP, FL",FL
270,"UPS SIOUX FALL, SD","UPS SIOUX FALL, SD",SD
271,"UPS, NEWARK, NJ","UPS, NEWARK, NJ",NJ
272,"UPS, SEATTLE, WA","UPS, SEATTLE, WA",WA
273,"UPS,ONTARIO,CA","UPS,ONTARIO,CA",CA
274,"VALDEZ,AK","VALDEZ,AK",AK
275,"VANCOUVER,WA","VANCOUVER,WA",WA
276,"VICKSBURG,MS","VICKSBURG,MS",MS
277,"WARROAD,MN","WARROAD,MN",MN
278,"WASHINGTON, DC","WASHINGTON, DC",DC
279,"WEST PALM BEACH,FL","WEST PALM BEACH,FL",FL
280,"WICHITA,KS","WICHITA,KS",KS
281,"WILLOW RUN AIRPORT,MI","WILLOW RUN AIRPORT,MI",MI
282,"WILMINGTON,DE",NEW YORK,NY
283,"WILMINGTON,NC","WILMINGTON,NC",NC
284,"WORCESTER,MA","WORCESTER,MA",MA
285,"WRANGELL,AK","WRANGELL,AK",AK
286,,NOT DECLARED,NOT DECLARED
