,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
20,20,20,20,4.962388616,"{'colsample_bylevel': 0.7989236373989136, 'colsample_bytree': 0.9053818485658374, 'gamma': 7.196010433294132, 'learning_rate': 0.23029741759099331, 'max_depth': 16, 'min_child_weight': 6, 'n_estimators': 348, 'reg_alpha': 16, 'reg_lambda': 67.2541514054042, 'subsample': 0.8433249995166557}",7,192.8081097
21,21,21,21,4.965458186,"{'colsample_bylevel': 0.6723238231961522, 'colsample_bytree': 0.6229806825775337, 'gamma': 10.06098902571646, 'learning_rate': 0.21051562466352275, 'max_depth': 25, 'min_child_weight': 6, 'n_estimators': 689, 'reg_alpha': 19, 'reg_lambda': 29.93658767231516, 'subsample': 0.6591153288164823}",93,784.6052673
22,22,22,22,4.96843171,"{'colsample_bylevel': 0.5409199446214433, 'colsample_bytree': 0.909184492380424, 'gamma': 7.5479766971909905, 'learning_rate': 0.07277811381274522, 'max_depth': 19, 'min_child_weight': 24, 'n_estimators': 336, 'reg_alpha': 1, 'reg_lambda': 28.580422164873568, 'subsample': 0.8267092089290744}",90,211.2712589
23,23,23,23,4.970491161,"{'colsample_bylevel': 0.8175347571934733, 'colsample_bytree': 0.7872173461838802, 'gamma': 8.713457905716684, 'learning_rate': 0.12323293212670594, 'max_depth': 23, 'min_child_weight': 21, 'n_estimators': 285, 'reg_alpha': 11, 'reg_lambda': 54.96151095959782, 'subsample': 0.6928313423734326}",89,338.656869
24,24,24,24,4.98289434,"{'colsample_bylevel': 0.6888693037938249, 'colsample_bytree': 0.7332210456088875, 'gamma': 10.431790437623354, 'learning_rate': 0.1613688944990465, 'max_depth': 24, 'min_child_weight': 10, 'n_estimators': 351, 'reg_alpha': 27, 'reg_lambda': 31.26197529552676, 'subsample': 0.5245161548057994}",75,401.2723908
25,25,25,25,4.983135715,"{'colsample_bylevel': 0.9113278962090436, 'colsample_bytree': 0.8441463199389606, 'gamma': 7.556420583393874, 'learning_rate': 0.042108478438465456, 'max_depth': 26, 'min_child_weight': 8, 'n_estimators': 479, 'reg_alpha': 12, 'reg_lambda': 61.59213182500178, 'subsample': 0.3972204553378991}",56,1113.247619
26,26,26,26,4.995420419,"{'colsample_bylevel': 0.6132959103189455, 'colsample_bytree': 0.6543489757458356, 'gamma': 13.38309962879909, 'learning_rate': 0.10593757932914366, 'max_depth': 24, 'min_child_weight': 18, 'n_estimators': 649, 'reg_alpha': 12, 'reg_lambda': 82.08734940133431, 'subsample': 0.7137851203690042}",96,498.7206124
27,27,27,27,5.012326935,"{'colsample_bylevel': 0.809417066647758, 'colsample_bytree': 0.7010910584592974, 'gamma': 10.184020654542744, 'learning_rate': 0.11484352510099083, 'max_depth': 25, 'min_child_weight': 22, 'n_estimators': 262, 'reg_alpha': 17, 'reg_lambda': 1.8472791604334375, 'subsample': 0.5624851271961279}",33,355.4147569
28,28,28,28,5.043601181,"{'colsample_bylevel': 0.6393861106652065, 'colsample_bytree': 0.9328787746062259, 'gamma': 10.11618173996159, 'learning_rate': 0.053296091999427204, 'max_depth': 19, 'min_child_weight': 20, 'n_estimators': 407, 'reg_alpha': 28, 'reg_lambda': 65.83868250723158, 'subsample': 0.7919182007281446}",63,266.0357876
29,29,29,29,5.069228663,"{'colsample_bylevel': 0.5576318515601599, 'colsample_bytree': 0.8250239542298693, 'gamma': 11.834365838769122, 'learning_rate': 0.285153739614815, 'max_depth': 19, 'min_child_weight': 23, 'n_estimators': 187, 'reg_alpha': 21, 'reg_lambda': 34.02872064711811, 'subsample': 0.8147930449410807}",42,106.3763161
30,30,30,30,5.072524832,"{'colsample_bylevel': 0.5351362238224868, 'colsample_bytree': 0.9016285131658576, 'gamma': 9.146434351636149, 'learning_rate': 0.030333578185486737, 'max_depth': 26, 'min_child_weight': 22, 'n_estimators': 600, 'reg_alpha': 6, 'reg_lambda': 99.79199370004652, 'subsample': 0.5845832817561551}",64,856.554284
31,31,31,31,5.092169963,"{'colsample_bylevel': 0.9041849564989193, 'colsample_bytree': 0.769190608872929, 'gamma': 12.313991995175085, 'learning_rate': 0.09340204588990964, 'max_depth': 21, 'min_child_weight': 27, 'n_estimators': 151, 'reg_alpha': 13, 'reg_lambda': 42.38249336483611, 'subsample': 0.8054340339274453}",36,166.2998469
