,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
31,31,31,5.540545956,"{'colsample_bylevel': 0.6367175974391244, 'colsample_bytree': 0.81486050497221, 'gamma': 11.940018857255202, 'learning_rate': 0.0575700237475222, 'max_depth': 17, 'min_child_weight': 13, 'n_estimators': 397, 'reg_alpha': 2, 'reg_lambda': 88.44467635479143, 'subsample': 0.7615840523789653}",96,157.9783003
32,32,32,5.598444039,"{'colsample_bylevel': 0.5936525878007729, 'colsample_bytree': 0.6819481299419188, 'gamma': 10.162484435803632, 'learning_rate': 0.14065274477472192, 'max_depth': 22, 'min_child_weight': 23, 'n_estimators': 694, 'reg_alpha': 9, 'reg_lambda': 66.55200167243913, 'subsample': 0.6679135196363941}",80,438.3508156
33,33,33,5.648606226,"{'colsample_bylevel': 0.8153212111961148, 'colsample_bytree': 0.41850306895457745, 'gamma': 7.329613265247468, 'learning_rate': 0.08433988254666502, 'max_depth': 26, 'min_child_weight': 16, 'n_estimators': 641, 'reg_alpha': 18, 'reg_lambda': 68.89788663964725, 'subsample': 0.9070872621790564}",37,796.4182491
34,34,34,5.65082964,"{'colsample_bylevel': 0.1801097362928072, 'colsample_bytree': 0.7258971483731484, 'gamma': 2.9856593172600054, 'learning_rate': 0.1604518660193981, 'max_depth': 23, 'min_child_weight': 5, 'n_estimators': 407, 'reg_alpha': 25, 'reg_lambda': 11.757271684971393, 'subsample': 0.9308601806194128}",14,216.1754385
35,35,35,5.654150695,"{'colsample_bylevel': 0.6145666676708745, 'colsample_bytree': 0.7963752213004429, 'gamma': 10.52736544954676, 'learning_rate': 0.11775202066481863, 'max_depth': 16, 'min_child_weight': 12, 'n_estimators': 375, 'reg_alpha': 20, 'reg_lambda': 72.39617024403937, 'subsample': 0.6010223777562825}",32,108.2519255
36,36,36,5.683926592,"{'colsample_bylevel': 0.9442174516583042, 'colsample_bytree': 0.8998896030063191, 'gamma': 2.0238972580715675, 'learning_rate': 0.22741589051688338, 'max_depth': 13, 'min_child_weight': 19, 'n_estimators': 329, 'reg_alpha': 11, 'reg_lambda': 66.44789230399417, 'subsample': 0.6937451722224615}",23,49.44587289
37,37,37,5.702515098,"{'colsample_bylevel': 0.3154450180856419, 'colsample_bytree': 0.6319785095673517, 'gamma': 4.3882703416935644, 'learning_rate': 0.1666106148486199, 'max_depth': 23, 'min_child_weight': 11, 'n_estimators': 324, 'reg_alpha': 27, 'reg_lambda': 85.18339108054363, 'subsample': 0.8404200601896503}",13,201.9362793
38,38,38,5.712391211,"{'colsample_bylevel': 0.7011414324989537, 'colsample_bytree': 0.8288241312728211, 'gamma': 0.9478135417166516, 'learning_rate': 0.2174615793431942, 'max_depth': 20, 'min_child_weight': 24, 'n_estimators': 99, 'reg_alpha': 5, 'reg_lambda': 56.08973328387718, 'subsample': 0.5788622283285904}",42,56.23464974
39,39,39,5.726370349,"{'colsample_bylevel': 0.5298140103731142, 'colsample_bytree': 0.9535928290105846, 'gamma': 12.837177547340062, 'learning_rate': 0.1591121005491113, 'max_depth': 27, 'min_child_weight': 29, 'n_estimators': 157, 'reg_alpha': 27, 'reg_lambda': 39.418829294634705, 'subsample': 0.40126027297731937}",93,203.4406266
40,40,40,5.771281397,"{'colsample_bylevel': 0.9201752398273298, 'colsample_bytree': 0.7078636908207462, 'gamma': 5.1277049884759585, 'learning_rate': 0.12535789745808454, 'max_depth': 17, 'min_child_weight': 23, 'n_estimators': 404, 'reg_alpha': 9, 'reg_lambda': 20.452735552460254, 'subsample': 0.4528769615034572}",40,134.1922997
