boosting_type,feature_fraction,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
gbdt,0.7661110983421981,+,0.18665421883932776,12,0,121,0.18582818389649333,0.677225169777251,0.396754103351723,12.242759941513896,155
gbdt,0.6794634543758905,+,0.26246447768541337,12,0,123,0.6324443882827072,0.4623181657091494,0.5441863079535486,12.243817087463976,178
gbdt,0.7821458315156001,+,0.6271012417989599,12,0,199,0.42284994688773886,0.8448065037037349,0.41599998071718935,12.255046682706997,281
gbdt,0.7997580772953882,+,0.33303742797690083,12,0,78,0.3036937517015535,0.8641056324140286,0.40355204320480415,12.257490537002347,225
gbdt,0.6682269827747456,+,0.5007120884125509,13,0,111,0.6715863252130282,0.5300694727727109,0.5166422606453152,12.260917666249568,82
gbdt,0.7704946730310871,+,0.14320866360631568,12,0,145,0.06686899069963373,0.5729021898171044,0.43281094906651857,12.265230429343006,201
gbdt,0.6886975852977714,+,0.2170634769753981,9,0,195,0.5836832570147609,0.12746997011830885,0.9091722091221105,12.265260073019912,28
gbdt,0.7345401281625955,+,0.44892988842552817,12,0,90,0.37792155540780215,0.9706393566398888,0.32943619681461017,12.268756928072724,273
gbdt,0.6647477572098682,+,0.22087792431429296,12,0,124,0.5011834358473289,0.38538761943303856,0.4461712191273779,12.26949727726659,257
gbdt,0.7131247396972095,+,0.33287459032010075,9,0,138,0.409111615607626,0.5568460297510824,0.37462944882049054,12.274645225256643,294
gbdt,0.5868391812746985,+,0.47080495238563924,12,0,151,0.471816613874821,0.9107532274734191,0.4550165637884261,12.27855574607005,96
gbdt,0.7392288808749892,+,0.24615514521256845,12,0,95,0.26042015385316175,0.7296643892695663,0.45262196399432775,12.291364452306672,157
gbdt,0.7998723696256363,+,0.09605889542315604,12,0,194,0.6626959341952208,0.897788644425078,0.41690207859873785,12.298025941574936,196
gbdt,0.7205834063953227,+,0.533322524933838,10,0,139,0.18726060704521155,0.7690432211652388,0.39693162532424703,12.300363834487287,297
gbdt,0.7981250575440343,+,0.43291291858870845,12,0,71,0.5072820675311808,0.3232477267815556,0.7776124943170715,12.305359339703502,22
gbdt,0.7999067184576231,+,0.6423836239627473,12,0,179,0.11999022686022603,0.7023976906026315,0.3132284851177953,12.308528031023572,154
gbdt,0.5968421228882997,+,0.3471608467034082,13,0,111,0.7743859451851246,0.053666832963637986,0.5205790746291166,12.325953698771036,246
gbdt,0.7911727004678019,+,0.2807009457342966,9,0,105,0.3777311159992281,0.7751660910779211,0.35548412874515933,12.333784178671973,70
