boosting_type,feature_fraction,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
gbdt,0.7194237082478898,+,0.15144368112394008,13,0,67,0.5093656196472371,0.8237842551311242,0.8446055209478723,388.4140411247648,266
gbdt,0.7353017781218856,+,0.07155054481953801,13,0,76,0.4594028344289788,0.6196731353857731,0.8839908532904217,388.4222930520128,161
gbdt,0.7074301604979344,+,0.09432626922292522,13,0,72,0.5029702309577017,0.81879648447528,0.8498867285845249,388.4344063662136,38
gbdt,0.7389219884032797,+,0.0436115528781228,13,0,83,0.2285473946608016,0.8562602537017052,0.8778440473601118,388.4487797137827,146
gbdt,0.6963413412488892,+,0.13748568438132583,13,0,70,0.40616205941686556,0.24717998810439332,0.8653492961116983,388.5189395943796,224
gbdt,0.6852823953372211,+,0.1678136457995226,13,0,85,0.522306491436855,0.2900093934464141,0.6187739195312252,388.53787724461,142
gbdt,0.7338359037820587,+,0.13288003778086702,13,0,40,0.3079710352064301,0.4223062445432585,0.5755259706239604,388.5786161869837,190
gbdt,0.735989635551646,+,0.024435142133990548,13,0,143,0.28304362187553084,0.8008826997505575,0.7254929665625427,388.5916092857585,229
gbdt,0.7989711422866568,+,0.1895545051089167,12,0,145,0.6146699708937314,0.12660365844510268,0.7126322440934509,388.6014507097463,27
gbdt,0.678045948782861,+,0.06290931560047908,13,0,74,0.2526074939739793,0.11392020826363716,0.8153546591427728,388.6380479982993,26
gbdt,0.7678954810281322,+,0.02084427389457361,14,0,139,0.36594428729301015,0.9335241387915955,0.8475043309966428,388.6983031211056,156
gbdt,0.7901169380310248,+,0.16796422250191645,13,0,117,0.3196948031184097,0.47108658994197095,0.6657973553013127,388.76360779478046,221
gbdt,0.7605475012735557,+,0.018815617457746604,13,0,164,0.6327996173750923,0.7005694512504914,0.7034428504795703,388.7938785881316,127
gbdt,0.7940914572966733,+,0.013688220032605112,14,0,196,0.08987100388166774,0.2582188359069954,0.8646736258979829,388.85499832042177,271
gbdt,0.7758944951204253,+,0.07781501355115852,10,0,152,0.4824080481415413,0.34682189025366283,0.6687412383316953,388.8562282134548,252
gbdt,0.6759157232625825,+,0.18680167248010998,13,0,93,0.2575062740974682,0.7886682163860332,0.9839511432391783,388.8662579021343,70
gbdt,0.7945153882146764,+,0.018432677807406497,13,0,155,0.7735783234966713,0.13098171030078437,0.49266174571400057,388.8701639234682,242
gbdt,0.7106864495482195,+,0.14941812696654388,11,0,142,0.42227531696938814,0.9295363431883188,0.855294174143493,388.8911160426058,178
gbdt,0.7446364827971319,+,0.05023765971331665,13,0,86,0.12774624315376176,0.8370499820708951,0.993809899872208,388.8975522193599,233
gbdt,0.638390149740498,+,0.037805537341259285,13,0,88,0.30363390639489685,0.11519253559215054,0.7204203527008388,388.9475181531131,256
gbdt,0.7920404647816435,+,0.014961456020689027,14,0,180,0.04542263063079485,0.3853290447449377,0.7289478998191803,388.95360929564055,286
gbdt,0.7601843904913617,+,0.2553896888011853,13,0,199,0.2823609130744445,0.8985765012955476,0.972882506340243,388.9942726021288,150
gbdt,0.7906300885425301,+,0.016189500622806344,13,0,182,0.4553111059814589,0.20165341995528657,0.5357174988655764,389.04293986271296,245
gbdt,0.6280880636978672,+,0.12449804627465735,10,0,183,0.2887894742002691,0.19771148937882632,0.8439181861469829,389.1722192704317,120
gbdt,0.7184827747579773,+,0.05169030080723383,10,0,104,0.3999287123112913,0.6297190632533436,0.9943714017761174,389.22167220245257,53
gbdt,0.7882803743380765,+,0.01988479843638514,14,0,109,0.24372438155131326,0.25969721788303174,0.7477408006396665,389.3007187161388,282
gbdt,0.7603146033776585,+,0.09926997076689288,13,0,41,0.34113914324460964,0.15654284203058047,0.6940788498851302,389.30865523349166,260
gbdt,0.7056384963828222,+,0.13233783005467029,13,0,35,0.3406373279408625,0.8342940673482198,0.9886050099550205,389.32516762669,148
gbdt,0.7898430133343822,+,0.11745981605894901,11,0,191,0.5051957037409247,0.34491726564843406,0.5300960378236161,389.3717554720816,51
gbdt,0.7640734130399769,+,0.02385853273964032,14,0,89,0.030113330064224286,0.18178787695207912,0.7797437005554988,389.6086407842881,275
gbdt,0.734509098657014,+,0.13634140334494627,13,0,70,0.5298974038879187,0.18607217966162976,0.9953575039534752,389.6341454955041,21
gbdt,0.7993393210882621,+,0.13541396288501495,12,0,32,0.2828508101958326,0.45586020594813476,0.8349450218692316,389.6841869962821,293
gbdt,0.7217975366895831,+,0.027697884178857282,14,0,82,0.5012261650586053,0.9483013163908653,0.8734062667458585,389.766404102614,172
gbdt,0.75038145672489,+,0.025279195169615284,13,0,95,0.8982722637731325,0.9296774662952013,0.7852615226887029,389.7667849421746,206
gbdt,0.6994082159827365,+,0.0717752276093079,10,0,64,0.28073309099422117,0.826068969072137,0.6034946473161333,389.8533213685532,204
gbdt,0.6657248360215366,+,0.03173256862495849,13,0,91,0.24894379545138595,0.9073980889910237,0.8031355259884583,389.9098146043719,117
gbdt,0.7246119077500179,+,0.03173005818385162,10,0,160,0.2950780431684855,0.769402196557655,0.8632775401346705,389.9959697061829,155
gbdt,0.5613426586734105,+,0.02986146301115871,12,0,186,0.2792026357835954,0.016245424076463122,0.7678879394980572,390.0029950817104,56
